Period        Av_FluxConc_at_reporting_depth
 1             5.397589E-11 
 2             1.00358E-05 
 3             5.55021E-05 
 4             0.04892761 
 5             0.0280918 
 6             0.01206138 
 7             0.00399747 
 8             0.002713017 
 9             0.001185872 
 10            0.009899218 
 11            0.006694118 
 12            7.101653E-05 
 13            4.736394E-05 
 14            0.0006020716 
 15            0.008541815 
 16            0.01304567 
 17            0.008633766 
 18            0.07021531 
 19            0.0293237 
 20            0.001121901 
 21            0.0001733092 
 22            0.02271085 
 23            0.008780492 
