Period        Percolation_at_reporting_depth
 1             154.0981 
 2             205.2059 
 3             193.6897 
 4             253.6176 
 5             301.4771 
 6             343.3938 
 7             347.7777 
 8             326.8553 
 9             220.4393 
 10            302.9134 
 11            156.1544 
 12            204.6732 
 13            193.6711 
 14            250.395 
 15            355.7315 
 16            305.4065 
 17            301.8568 
 18            297.8788 
 19            277.0838 
 20            238.2844 
 21            155.5191 
 22            198.8795 
 23            277.9056 
