Period        Av_FluxConc_at_reporting_depth
 1             1.672023E-06 
 2             0.01736955 
 3             0.04749482 
 4             0.01317886 
 5             0.003797338 
 6             0.06696387 
 7             0.009219345 
 8             0.0003513739 
 9             0.0001562213 
 10            0.01228372 
 11            0.00195803 
 12            0.0005312406 
 13            0.0004639168 
 14            0.0001056669 
 15            0.02160567 
 16            0.1053243 
 17            0.003908804 
 18            0.0080398 
 19            0.002700314 
 20            0.001048131 
 21            6.545832E-05 
 22            8.441832E-05 
