Period        Percolation_at_reporting_depth
 1             162.215 
 2             206.4481 
 3             270.5221 
 4             328.513 
 5             309.6467 
 6             287.0936 
 7             261.7225 
 8             180.7865 
 9             188.9379 
 10            344.261 
 11            327.0785 
 12            276.3819 
 13            286.6928 
 14            160.6057 
 15            203.3656 
 16            312.846 
 17            341.1386 
 18            337.4138 
 19            248.4444 
 20            206.1415 
 21            191.0433 
 22            241.9734 
