Period        Av_FluxConc_at_reporting_depth
 1             0 
 2             0 
 3             0.0001083606 
 4             0.001683432 
 5             0.007792085 
 6             0.02679377 
 7             0.007188597 
 8             0 
 9             0.004357683 
 10            0.04819768 
 11            0.1085092 
 12            0.2386374 
 13            0.1598915 
 14            4.159293 
 15            1.453971 
 16            0.1475433 
 17            0.06408824 
 18            0.05564358 
 19            0.01237787 
 20            0.06920791 
 21            0.1318542 
 22            0 
 23            0 
 24            0 
 25            0.002023987 
 26            0.02238541 
