Period        Av_FluxConc_at_reporting_depth
 1             0 
 2             0 
 3             0 
 4             0 
 5             3.37388E-28 
 6             5.356653E-08 
 7             1.017184E-06 
 8             2.688437E-06 
 9             3.44114E-07 
 10            5.887765E-08 
 11            0 
 12            8.117446E-07 
 13            1.099136E-05 
 14            1.792756E-05 
 15            4.629365E-05 
 16            0.0003022161 
 17            0.0003442324 
 18            0 
 19            0 
 20            0 
 21            0 
 22            0 
 23            0 
 24            0 
 25            0 
 26            0 
