Period        Av_FluxConc_at_reporting_depth
 1             0 
 2             2.212359E-38 
 3             0.003399525 
 4             0.5480737 
 5             3.92038 
 6             8.893876 
 7             13.12984 
 8             16.18051 
 9             15.96396 
 10            18.66101 
 11            22.95376 
 12            26.12383 
 13            24.50353 
 14            22.96514 
 15            29.59871 
 16            23.55239 
 17            22.52338 
 18            19.4715 
 19            18.53523 
 20            21.4933 
 21            17.87897 
 22            0 
 23            13.06435 
 24            9.521932 
 25            9.89667 
 26            12.33479 
