Period        Percolation_at_reporting_depth
 1             27.00938 
 2             8.512972 
 3             85.856 
 4             113.3837 
 5             73.6123 
 6             99.80074 
 7             235.4447 
 8             25.21961 
 9             249.442 
 10            210.2041 
 11            313.4379 
 12            203.4828 
 13            256.7988 
 14            237.2037 
 15            142.3023 
 16            313.5246 
 17            102.0878 
 18            133.5543 
 19            185.3695 
 20            228.8324 
 21            45.83284 
 22            8.514246 
 23            85.85646 
 24            113.3834 
 25            73.61224 
 26            99.80057 
