Period        Percolation_at_reporting_depth
 1             27.00924 
 2             8.512836 
 3             85.85609 
 4             113.383 
 5             73.61205 
 6             99.80067 
 7             235.4442 
 8             25.21932 
 9             249.4421 
 10            210.2045 
 11            313.4376 
 12            203.4829 
 13            256.7988 
 14            237.2039 
 15            142.3031 
 16            313.5254 
 17            102.0881 
 18            133.5546 
 19            185.3693 
 20            228.8321 
 21            45.83289 
 22            8.514381 
 23            85.85561 
 24            113.3832 
 25            73.612 
 26            99.80078 
